article_title,url_link,country,article_quality,revision_id,geography,population,region
Bardhok Biba,https://en.wikipedia.org/wiki/Bardhok_Biba,Albania,C,1110580984,Albania,2.8,SOUTHERN EUROPE
Dervish Biçaku,https://en.wikipedia.org/wiki/Dervish_Biçaku,Albania,Stub,1106794267,Albania,2.8,SOUTHERN EUROPE
Kostandin Boshnjaku,https://en.wikipedia.org/wiki/Kostandin_Boshnjaku,Albania,C,1107876476,Albania,2.8,SOUTHERN EUROPE
Spartak Braho,https://en.wikipedia.org/wiki/Spartak_Braho,Albania,Start,1098235893,Albania,2.8,SOUTHERN EUROPE
Safet Butka,https://en.wikipedia.org/wiki/Safet_Butka,Albania,C,1067080697,Albania,2.8,SOUTHERN EUROPE
Uran Butka,https://en.wikipedia.org/wiki/Uran_Butka,Albania,Start,1087272778,Albania,2.8,SOUTHERN EUROPE
Refo Çapari,https://en.wikipedia.org/wiki/Refo_Çapari,Albania,Start,1061419179,Albania,2.8,SOUTHERN EUROPE
Neritan Ceka,https://en.wikipedia.org/wiki/Neritan_Ceka,Albania,Start,1095178618,Albania,2.8,SOUTHERN EUROPE
Hysni Curri,https://en.wikipedia.org/wiki/Hysni_Curri,Albania,Start,1114418989,Albania,2.8,SOUTHERN EUROPE
Ibrahim Dalliu,https://en.wikipedia.org/wiki/Ibrahim_Dalliu,Albania,Start,1087026828,Albania,2.8,SOUTHERN EUROPE
Niazi Demi,https://en.wikipedia.org/wiki/Niazi_Demi,Albania,Stub,1104589367,Albania,2.8,SOUTHERN EUROPE
Abdurrahman Dibra,https://en.wikipedia.org/wiki/Abdurrahman_Dibra,Albania,Start,1101365003,Albania,2.8,SOUTHERN EUROPE
Fuad Dibra,https://en.wikipedia.org/wiki/Fuad_Dibra,Albania,Start,1079550815,Albania,2.8,SOUTHERN EUROPE
Isuf Dibra,https://en.wikipedia.org/wiki/Isuf_Dibra,Albania,Start,1108975040,Albania,2.8,SOUTHERN EUROPE
Bujar Dida,https://en.wikipedia.org/wiki/Bujar_Dida,Albania,C,1112281152,Albania,2.8,SOUTHERN EUROPE
Ahmed Dino,https://en.wikipedia.org/wiki/Ahmed_Dino,Albania,Stub,1114424802,Albania,2.8,SOUTHERN EUROPE
Rasih Dino,https://en.wikipedia.org/wiki/Rasih_Dino,Albania,Stub,1067061654,Albania,2.8,SOUTHERN EUROPE
Ferhat Bey Draga,https://en.wikipedia.org/wiki/Ferhat_Bey_Draga,Albania,C,1101927317,Albania,2.8,SOUTHERN EUROPE
Nexhip Draga,https://en.wikipedia.org/wiki/Nexhip_Draga,Albania,GA,1092914547,Albania,2.8,SOUTHERN EUROPE
Aqif Pasha Elbasani,https://en.wikipedia.org/wiki/Aqif_Pasha_Elbasani,Albania,B,1114425909,Albania,2.8,SOUTHERN EUROPE
Abas Ermenji,https://en.wikipedia.org/wiki/Abas_Ermenji,Albania,Start,1073827690,Albania,2.8,SOUTHERN EUROPE
Bajram Fevziu,https://en.wikipedia.org/wiki/Bajram_Fevziu,Albania,Start,1089008480,Albania,2.8,SOUTHERN EUROPE
Qamil Musa Haxhi Feza,https://en.wikipedia.org/wiki/Qamil_Musa_Haxhi_Feza,Albania,Stub,1015553118,Albania,2.8,SOUTHERN EUROPE
Themistokli Gërmenji,https://en.wikipedia.org/wiki/Themistokli_Gërmenji,Albania,C,1099714241,Albania,2.8,SOUTHERN EUROPE
Sabri Godo,https://en.wikipedia.org/wiki/Sabri_Godo,Albania,C,1105835401,Albania,2.8,SOUTHERN EUROPE
Mihal Grameno,https://en.wikipedia.org/wiki/Mihal_Grameno,Albania,C,1095879069,Albania,2.8,SOUTHERN EUROPE
Aćif Hadžiahmetović,https://en.wikipedia.org/wiki/Aćif_Hadžiahmetović,Albania,GA,1104696112,Albania,2.8,SOUTHERN EUROPE
Albulena Haxhiu,https://en.wikipedia.org/wiki/Albulena_Haxhiu,Albania,Stub,1095286065,Albania,2.8,SOUTHERN EUROPE
High Council of Regency,https://en.wikipedia.org/wiki/High_Council_of_Regency,Albania,C,1107096289,Albania,2.8,SOUTHERN EUROPE
Spiridon Kacarosi,https://en.wikipedia.org/wiki/Spiridon_Kacarosi,Albania,Stub,993288548,Albania,2.8,SOUTHERN EUROPE
Kurt Agë Kadiu,https://en.wikipedia.org/wiki/Kurt_Agë_Kadiu,Albania,Stub,998414015,Albania,2.8,SOUTHERN EUROPE
Mehmed Kalakula,https://en.wikipedia.org/wiki/Mehmed_Kalakula,Albania,Stub,979382854,Albania,2.8,SOUTHERN EUROPE
Alfred Karamuço,https://en.wikipedia.org/wiki/Alfred_Karamuço,Albania,Stub,1098236555,Albania,2.8,SOUTHERN EUROPE
Ibrahim Karbunara,https://en.wikipedia.org/wiki/Ibrahim_Karbunara,Albania,Start,1053849574,Albania,2.8,SOUTHERN EUROPE
Ali Këlcyra,https://en.wikipedia.org/wiki/Ali_Këlcyra,Albania,C,1069956844,Albania,2.8,SOUTHERN EUROPE
Belind Këlliçi,https://en.wikipedia.org/wiki/Belind_Këlliçi,Albania,C,1114971095,Albania,2.8,SOUTHERN EUROPE
Bajram Kelmendi,https://en.wikipedia.org/wiki/Bajram_Kelmendi,Albania,Start,1098232331,Albania,2.8,SOUTHERN EUROPE
Kristo Kirka,https://en.wikipedia.org/wiki/Kristo_Kirka,Albania,C,1071577370,Albania,2.8,SOUTHERN EUROPE
Elez Koçi,https://en.wikipedia.org/wiki/Elez_Koçi,Albania,Start,919356105,Albania,2.8,SOUTHERN EUROPE
Ali Riza Kolonja,https://en.wikipedia.org/wiki/Ali_Riza_Kolonja,Albania,Start,1095185542,Albania,2.8,SOUTHERN EUROPE
Glauk Konjufca,https://en.wikipedia.org/wiki/Glauk_Konjufca,Albania,Start,1110511667,Albania,2.8,SOUTHERN EUROPE
Xhelal Koprëncka,https://en.wikipedia.org/wiki/Xhelal_Koprëncka,Albania,Stub,1106794268,Albania,2.8,SOUTHERN EUROPE
Kryeziu family,https://en.wikipedia.org/wiki/Kryeziu_family,Albania,Start,1113466121,Albania,2.8,SOUTHERN EUROPE
Artur Kuko,https://en.wikipedia.org/wiki/Artur_Kuko,Albania,Stub,1112281132,Albania,2.8,SOUTHERN EUROPE
Xhavid Leskoviku,https://en.wikipedia.org/wiki/Xhavid_Leskoviku,Albania,Start,1080104315,Albania,2.8,SOUTHERN EUROPE
Sabit Lulo,https://en.wikipedia.org/wiki/Sabit_Lulo,Albania,Stub,1071576324,Albania,2.8,SOUTHERN EUROPE
